names,address1,address2,phone,opened,enrollment,grades,status,description,longitude,latitude
Academy Charter School,801 E Artic,"Palmer, AK 99645",907-746-2358,1996,231,K-8,Open,,-149.0944394,61.6067862
Alaska Native Cultural Charter School,110 Muldoon Rd.,"Anchorage, AK 99504",907-575-6195,2008,200,K-6,Open,The school offers students a curriculum focused on Alaska Native culture and a rigorous academic program that develops academic achievement.,-149.7338432,61.2234851
American Charter Academy,244 S. Sylvan Way,"Meadow Lakes, AK 99654",907-373-1600,2010,190,12-Jun,Open,Standards-based model where students work at their knowledge level instead of grade level. Offers many outdoors activities.,-149.63379,61.582023
Anvil City Science Academy,Mile 3.5 Nome-Teller Hwy.,"Nome, AK 99762",907-443-6207,1998,44,8-May,Open,"Thematic learning, outward bound exploration and science-based curriculum. Emphasis on science and technology. Core Knowledge curriculum.",-165.386512,64.5152494
Aquarian Charter School,1705 W. 32nd Ave.,"Anchorage, AK 99517",907-337-0469,1997,360,K-6,Open,"Includes drama, music, Spanish Inclusion and art to boost achievement. Program for high-achieving children from families with working parents.",-149.917962,61.192314
Aurora Borealis Charter School,"705 Frontage Road, Ste. A","Kenai, AK 99611-7769",907-283-0292,1997,180,K-8,Open,"Teachers and parents are provided with the opportunity, responsibility and accountability for the management and control of the total school curriculum and environment. Designed to meet the unique needs of each student.",-151.2553458,60.5542503
Ayaprun Elitnaurvik Yup?ik Immersion School,1010 Fourth Ave.,"Bethel, AK 99559",907-543-1645,1999,170,K-6,Open,Thematic approach using the arts and environment; works closely with tribal leaders and provides tribal language immersion program. Native American population.,-161.7587513,60.7976653
Birchtree Charter School,7107 E. Palmer-Wasilla Hwy.,"Palmer, AK 99645",907-355-0490,2010,160,K-8,Open,Waldorf-inspired education manages the school.,-149.2714987,61.5977598
Chinook Montessori Charter School,3002 International St.,"Fairbanks, AK 99701",907-452-5020,1995,156,K-8,Open,"Multi-age environment supported by an alliance of educators, parents, businesses and community members. Strives to create a dynamic educational environment, which fosters educational excellence.",-147.7510796,64.8180189
Delta Cyber School,P.O. Box 1672,"Delta Junction, AK 99737",907-895-1043,1997,325,Ages 5-19,Open,Educational technology to gain access to curricular resources.,-145.7322222,64.0377778
Eagle Academy Charter School,"10901 Mausel St., Ste. 101","Eagle River, AK 99577",907-742-3025,2005,165,K-6,Open,"Uses the Spalding method of teaching across curriculum in all grade levels, employing a multi-sensory approach to learning.",-149.579306,61.319355
Effie Kokrine Charter School,601 Loftus Rd.,"Fairbanks, AK 99709",907-474-0958,2005,105,12-Jul,Open,"Emphasis on Alaskan Native American and Alaskan cultures, governance and the environment. Short school schedule.",-147.840912,64.847282
Family Partnership Charter School,401 E. Fireweed Ln.,"Anchorage, AK 99503",907-742-3700,1997,480,K-12,Open,Partnership school wherein parents bear the primary responsibility for management of their childrens education.,-149.876663,61.198354
Fireweed Academy,3719 Soundview Ave.,"Homer, AK 99603",907-235-9728,1997,66,6-Mar,Open,"Interdisciplinary education utilizing individual learning plans, experiential learning, project-based curricula and Socratic practice.",-151.5696471,59.6436277
Fronteras Spanish Immersion Charter School,7010 E Bogard Rd,"Wasilla, AK 99654",907-745-2223,2008,200,K-7,Open,,-149.274903,61.612714
