NCES School ID,State School ID,NCES District ID,State District ID,Low_grade,High_grade,School_name,Agency_name,County_name,Street,City,State,Zip_code,Zip_code4,Phone,LocaleCode,LocaleShortDesc,Charter,Magnet,Title1School,Title1SchoolWide,Students,Teachers,StudentTeach_Ratio,Male,Female,Native_America,Asian,Black,Hispanic,White,Free_Lunch,Reduced_Lunch,MigrantStudents
220004500958,398001,2200045,398,04,08,E. PHILLIPS: KIPP BELIEVE COLLEGE PREP,RSD-KNOWLEDGE IS POWER PROGRAM (KIPP) N.O.,ORLEANS PARISH,1607 SOUTH CARROLLTON AVENUE,NEW ORLEANS,LA,70118,,5043048857,11,City: Large,Yes,No,Yes,No,333,28,11.9,170,163,0,0,332,0,1,288,18,
480005411229,101813041,4800054,101813,06,08,KIPP 3D ACADEMY,KIPP INC CHARTER,HARRIS COUNTY,4610 E CROSSTIMBERS,HOUSTON,TX,77016,,7136366082,11,City: Large,Yes,,Yes,Yes,273,17.53,15.6,129,144,0,2,31,238,2,229,28,
480027611246,101860001,4800276,101860,05,05,KIPP 3RD WARD SCHOOL,KIPP SOUTHEAST HOUSTON,HARRIS COUNTY,10711 KIPP WAY,HOUSTON,TX,77099,,7138421695,11,City: Large,Yes,,Yes,Yes,70,4.26,16.4,35,35,0,0,68,2,0,42,9,
420012200758,7776,4200122,126510013,05,08,KIPP ACADEMY CHARTER SCHOOL,KIPP ACADEMY CHARTER SCHOOL,PHILADELPHIA COUNTY,2709 N BROAD STREET,PHILADELPHIA,PA,19132,,2152271728,11,City: Large,Yes,No,Yes,Yes,333,21,15.9,168,165,0,1,302,30,0,252,21,
360005404452,320700860820,3600054,320700860820,05,09,KIPP ACADEMY CHARTER SCHOOL,KIPP ACADEMY CHARTER SCHOOL,BRONX COUNTY,250 E 156TH ST-RM 413,BRONX,NY,10451,4796,7186653555,11,City: Large,Yes,No,Yes,Yes,393,31.99,12.3,174,214,0,2,193,193,0,267,75,
250008201845,04290010,2500082,0429,05,08,KIPP ACADEMY LYNN CHARTER SCHOOL,KIPP ACADEMY LYNN CHARTER (DISTRICT),ESSEX COUNTY,25 BESSOM STREET,LYNN,MA,01902,,7815981609,21,Suburb: Large,Yes,,Yes,Yes,352,26,13.5,169,174,0,13,83,201,46,285,31,
480005407911,101813001,4800054,101813,06,08,KIPP ACADEMY MIDDLE,KIPP INC CHARTER,HARRIS COUNTY,10711 KIPP WAY,HOUSTON,TX,77099,,8323281051,11,City: Large,Yes,,Yes,Yes,262,17.04,15.4,115,147,0,4,46,210,2,231,19,
062271011308,0101444,0622710,1964733,05,08,KIPP ACADEMY OF OPPORTUNITY,LOS ANGELES UNIFIED,LOS ANGELES COUNTY,7019 SOUTH VAN NESS,LOS ANGELES,CA,90047,1659,3237780125,11,City: Large,Yes,,Yes,Yes,356,15.74,22.6,170,184,0,0,321,33,0,207,80,
063432011263,0101345,0634320,3768338,05,08,KIPP ADELANTE,SAN DIEGO UNIFIED,SAN DIEGO COUNTY,"1475 SIXTH AVE., 2ND FLOOR",SAN DIEGO,CA,92101,,6192333242,11,City: Large,Yes,,Yes,No,365,17,21.5,153,203,0,7,28,313,8,362,0,
360014805822,331700860882,3600148,331700860882,05,09,KIPP AMP CHARTER SCHOOL,KIPP AMP CHARTER SCHOOL,KINGS COUNTY,1224 PARK PL-4TH FL,BROOKLYN,NY,11213,,7189433710,11,City: Large,Yes,No,Yes,Yes,298,18.71,15.9,168,130,0,0,288,10,0,168,49,
